year mm dd hh mm ss msec long lat alt
#START
2003 10 26 5 19 0 0 162.43 -19.57 498.89
2003 10 26 5 20 0 0 162.25 -15.75 497.79
2003 10 26 5 21 0 0 162.07 -11.92 496.77
2003 10 26 5 22 0 0 161.89 -8.09 495.82
2003 10 26 5 23 0 0 161.70 -4.27 494.97
2003 10 26 5 24 0 0 161.52 -0.44 494.22
2003 10 26 5 25 0 0 161.33 3.39 493.58
2003 10 26 5 26 0 0 161.15 7.23 493.04
2003 10 26 5 27 0 0 160.96 11.06 492.61
2003 10 26 5 28 0 0 160.78 14.89 492.28
2003 10 26 5 29 0 0 160.60 18.72 492.05
2003 10 26 5 30 0 0 160.43 22.55 491.91
2003 10 26 5 31 0 0 160.26 26.37 491.85
2003 10 26 5 32 0 0 160.09 30.20 491.86
2003 10 26 5 33 0 0 159.93 34.03 491.93
2003 10 26 5 34 0 0 159.78 37.85 492.03
2003 10 26 5 35 0 0 159.64 41.67 492.16
2003 10 26 5 36 0 0 159.52 45.49 492.30
2003 10 26 5 37 0 0 159.41 49.30 492.43
2003 10 26 5 38 0 0 159.33 53.12 492.53
2003 10 26 5 39 0 0 159.28 56.93 492.59
2003 10 26 5 40 0 0 159.27 60.74 492.59
2003 10 26 5 41 0 0 159.33 64.54 492.52
2003 10 26 5 42 0 0 159.49 68.35 492.37
2003 10 26 5 43 0 0 159.82 72.15 492.12
2003 10 26 5 44 0 0 160.45 75.95 491.77
2003 10 26 5 45 0 0 161.71 79.74 491.31
2003 10 26 5 46 0 0 164.72 83.52 490.73
2003 10 26 5 47 0 0 176.51 87.22 490.03
2003 10 26 5 48 0 0 296.29 88.44 489.22
2003 10 26 5 49 0 0 324.16 84.89 488.29
2003 10 26 5 50 0 0 328.68 81.12 487.25
2003 10 26 5 51 0 0 330.37 77.33 486.12
2003 10 26 5 52 0 0 331.17 73.52 484.89
2003 10 26 5 53 0 0 331.58 69.71 483.58
2003 10 26 5 54 0 0 331.80 65.90 482.22
2003 10 26 5 55 0 0 331.89 62.08 480.81
2003 10 26 5 56 0 0 331.91 58.26 479.38
2003 10 26 5 57 0 0 331.87 54.43 477.94
2003 10 26 5 58 0 0 331.80 50.60 476.52
2003 10 26 5 59 0 0 331.70 46.77 475.13
2003 10 26 6 0 0 0 331.58 42.93 473.81
2003 10 26 6 1 0 0 331.45 39.09 472.57
2003 10 26 6 2 0 0 331.30 35.25 471.44
2003 10 26 6 3 0 0 331.14 31.40 470.44
2003 10 26 6 4 0 0 330.98 27.55 469.58
2003 10 26 6 5 0 0 330.81 23.69 468.89
2003 10 26 6 6 0 0 330.64 19.84 468.37
2003 10 26 6 7 0 0 330.46 15.98 468.05
2003 10 26 6 8 0 0 330.28 12.13 467.94
